Address,Subdivision Name,City,Cumulative Days On Market,Days On Market,SqFt,Fireplaces Total,Heating,Year Built,Utilities,Longitude,Latitude,HOA Fee,HOA Fee Frequency,HOA Type,Cooling,County,Covered Spaces,Carport Spaces,Close Date,Close Price,Bath Full,Baths Half,Baths Total,# Dining Areas,# Living Areas,Beds Total,Bath Total,Acres,Current Price
1101 Krum  Court ,Twin Creeks Ph 4-D2,Allen,5,5,"4,493",1,"Central, Fireplace(s), Natural Gas, Zoned",2005,"Alley, Cable Available, City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter, Natural Gas Available, Phone Available, Sidewalk, Underground Utilities",-96.696672,33.120961,$312,Semi-Annual,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air, Gas, Multi Units, Zoned",Collin,3,0.0,05/17/2022,"$1,170,000",4,1,4/1,2,4,5,5,0.25,"$1,170,000"
6701 St Moritz  Parkway ,Clairemont Add,Colleyville,14,14,"5,891",3,"Central, Fireplace(s), Natural Gas, Zoned, Other",2003,"City Sewer, City Water, Co-op Electric, Individual Gas Meter, Natural Gas Available",-97.177784,32.904938,"$1,200",Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric, Multi Units, Zoned",Tarrant,4,0.0,05/18/2022,"$1,175,000",5,1,5/1,2,4,5,6,0.486,"$1,175,000"
4606 Alta Vista  Lane ,Hockaday Square 2nd Inst,Dallas,10,10,"3,309",1,Central,1958,"City Sewer, City Water, Concrete, Curbs",-96.829277,32.904193,,,None,"Central Air, Electric",Dallas,2,2.0,05/16/2022,"$1,175,000",3,1,3/1,2,2,3,4,0.373,"$1,175,000"
1426 Montgomery  Lane ,Timarron Add,Southlake,7,7,"3,739",1,Natural Gas,2001,"City Sewer, City Water",-97.12804,32.923038,"$1,150",Annually,Mandatory,Central Air,Tarrant,3,0.0,05/23/2022,"$1,180,000",4,0,4/0,2,3,6,4,0.246,"$1,180,000"
605 Kingsley  Way ,Pecan Ridge Addition,Grapevine,0,0,"3,312",1,Zoned,2022,"City Sewer, City Water",-97.149757,32.953998,"$1,000",Annually,Mandatory,Zoned,Tarrant,3,0.0,04/15/2022,"$1,184,084",3,1,3/1,1,1,3,4,0.26,"$1,184,084"
1835 Sawmill  Drive ,Forest Creek Estates,Lucas,8,8,"4,250",2,"Central, Natural Gas, Propane",2000,"City Water, Propane",-96.591078,33.109505,,,None,"Central Air, Electric",Collin,3,0.0,05/20/2022,"$1,188,500",3,1,3/1,2,2,4,4,2.032,"$1,188,500"
4944 Sandestin  Drive ,Bent Tree North 4 Sec Two,Dallas,3,3,"4,275",2,"Central, Natural Gas",1993,"Alley, City Sewer, City Water, Concrete, Curbs",-96.821605,32.995565,,,Voluntary,"Ceiling Fan(s), Central Air, Electric",Collin,3,0.0,04/22/2022,"$1,190,000",3,2,3/2,2,4,4,5,0.23,"$1,190,000"
4361 Hallmark  Drive ,North Highland Estates,Dallas,4,4,"3,036",1,"Central, Natural Gas",1962,"Alley, City Sewer, City Water, Curbs",-96.83465,32.905614,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,04/27/2022,"$1,200,000",3,1,3/1,2,2,4,4,0.358,"$1,200,000"
2912 Riverbrook  Way ,South Vlg/Watermere,Southlake,2,2,"3,318",2,"Central, Fireplace(s)",2015,"Cable Available, City Sewer, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter, Phone Available, Underground Utilities",-97.19541,32.927684,"$2,500",Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,04/29/2022,"$1,200,000",3,1,3/1,1,2,3,4,0.185,"$1,200,000"
1372 Lakeview  Drive ,Cross Timber Hills Add,Southlake,3,3,"2,651",1,"Central, Natural Gas",1985,"City Sewer, City Water",-97.180881,32.952726,,,None,"Ceiling Fan(s), Central Air, Electric",Tarrant,3,0.0,05/06/2022,"$1,200,000",2,1,2/1,2,2,4,3,1.434,"$1,200,000"
2820 Creek View  Court ,Gentle Creek Estates Ph One,Prosper,3,3,"4,160",2,"Central, Natural Gas",2000,"Aerobic Septic, Cable Available, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter, Natural Gas Available",-96.754408,33.25835,$440,Semi-Annual,Mandatory,Central Air,Collin,3,0.0,05/23/2022,"$1,200,000",3,1,3/1,2,3,4,4,1.316,"$1,200,000"
1301 Preston  Lane ,Spann Add,Keller,0,0,"4,230",1,Central,2015,"City Sewer, City Water",-97.21023,32.911557,,,None,Central Air,Tarrant,3,0.0,05/06/2022,"$1,200,000",4,1,4/1,1,2,4,5,0.84,"$1,200,000"
3701 Fox Hollow  Street ,Overton Park Add,Fort Worth,2,2,"3,064",1,"Central, Natural Gas",1957,"City Sewer, City Water, Curbs",-97.381482,32.694741,,,None,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,2.0,04/26/2022,"$1,206,000",3,1,3/1,1,2,4,4,0.468,"$1,206,000"
12136 Madeleine  Circle ,Dallas Project No 1 East,Dallas,3,3,"3,335",2,"Central, Natural Gas, Zoned",1991,"City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter",-96.795085,32.915152,,,None,"Ceiling Fan(s), Central Air, Electric, Zoned",Dallas,2,0.0,05/03/2022,"$1,206,000",3,1,3/1,2,2,3,4,0.248,"$1,206,000"
6934 Hammond  Avenue ,Santa Monica,Dallas,6,6,"3,251",1,"Central, Natural Gas, Zoned",1930,"Alley, City Sewer, City Water, Curbs, Sidewalk",-96.737825,32.80509,$120,Annually,Voluntary,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,05/24/2022,"$1,209,000",3,0,3/0,2,4,4,3,0.164,"$1,209,000"
7306 Casa Loma  Avenue ,Gaston Terrace Add,Dallas,0,0,"3,539",1,Central,2006,"City Sewer, City Water",-96.73253,32.810291,,,None,Central Air,Dallas,2,0.0,04/06/2022,"$1,210,000",4,0,4/0,2,3,5,4,0.203,"$1,210,000"
1609 Le Mans  Lane ,Carillon,Southlake,4,4,"3,155",1,"Central, Natural Gas, Zoned",2015,"City Sewer, City Water, Community Mailbox, Concrete, Curbs, Electricity Available, Electricity Connected, Individual Gas Meter, Individual Water Meter, Sidewalk",-97.144073,32.962515,"$3,000",Annually,Mandatory,"Electric, Multi Units",Tarrant,3,0.0,05/17/2022,"$1,210,000",3,0,3/0,2,2,4,3,0.126,"$1,210,000"
6715 Joyce  Way ,Walnut Crest,Dallas,3,3,"2,359",1,Central,1951,"City Sewer, City Water, Concrete, Curbs",-96.789641,32.879267,,,None,Central Air,Dallas,2,0.0,05/10/2022,"$1,210,000",4,1,4/1,2,2,4,5,0.293,"$1,210,000"
5743 Morningside  Avenue ,Greenville Crest,Dallas,3,3,"1,766",2,"Central, Fireplace(s), Humidity Control, Natural Gas",1946,"Alley, Asphalt, Cable Available, City Sewer, City Water, Concrete, Curbs, Electricity Available, Electricity Connected, Individual Gas Meter, Individual Water Meter, Natural Gas Available, Overhead Utilities, Sewer Available, Sidewalk, Underground Utilities",-96.768343,32.829195,,,None,"Attic Fan, Central Air, Electric, ENERGY STAR Qualified Equipment, Humidity Control",Dallas,1,1.0,05/06/2022,"$1,212,000",2,1,2/1,1,1,3,3,0.165,"$1,212,000"
902  W Hunt  Street ,Mckinney Outlots,McKinney,3,3,"3,439",1,"Central, Fireplace(s)",2011,"All Weather Road, Asphalt, Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter",-96.624329,33.199558,,,None,Central Air,Collin,2,0.0,04/14/2022,"$1,212,500",3,1,3/1,2,2,4,4,0.316,"$1,212,500"
6324 McCommas  Boulevard ,Green Meadows,Dallas,3,3,"2,456",1,Central,1941,"City Sewer, City Water, Individual Gas Meter, Individual Water Meter, Sidewalk",-96.754862,32.829042,,,None,"Central Air, Electric",Dallas,2,0.0,04/21/2022,"$1,215,000",2,0,2/0,1,1,3,2,0.251,"$1,215,000"
1720 Cypress Lake  Lane ,Lakes Of La Cima Estates Ph Seven C,Prosper,2,2,"4,767",1,"Fireplace(s), Natural Gas",2017,"City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-96.778443,33.232532,$165,Quarterly,Mandatory,"Ceiling Fan(s), Electric",Collin,3,0.0,05/06/2022,"$1,215,000",5,1,5/1,2,3,5,6,0.333,"$1,215,000"
13853 Countrybrook  Drive ,The Crossing at Lawler Park,Frisco,2,2,"4,403",1,"Central, Natural Gas, Zoned",2013,"City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-96.756988,33.139975,$900,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric, Zoned",Collin,3,0.0,05/02/2022,"$1,220,000",4,1,4/1,2,4,5,5,0.22,"$1,220,000"
4409 Shady Hill  Drive ,North Highlands Estates,Dallas,19,19,"3,228",1,Central,1961,"City Sewer, City Water",-96.834043,32.906523,,,None,"Central Air, Electric",Dallas,2,0.0,05/16/2022,"$1,223,000",5,0,5/0,3,3,4,5,0.39,"$1,223,000"
5308 Pradera  Court ,La Cantera Team Ranch Ph III,Fort Worth,3,3,"3,414",2,"Central, Natural Gas, Zoned",2019,"City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-97.462107,32.693193,"$2,500",Annually,Mandatory,"Central Air, Electric, Zoned",Tarrant,3,0.0,04/14/2022,"$1,225,000",3,0,3/0,2,1,4,3,0.348,"$1,225,000"
7362 Lane Park  Drive ,Lane Park Add,Dallas,2,2,"3,458",1,"Natural Gas, Zoned",1984,"Alley, City Sewer, City Water, Natural Gas Available, Sidewalk",-96.779834,32.870275,$425,Quarterly,Mandatory,"Central Air, Zoned",Dallas,2,0.0,05/09/2022,"$1,225,000",2,1,2/1,2,2,3,3,0.176,"$1,225,000"
6908 Schubert ,The Reserve at Colleyville,Colleyville,2,2,"3,501",2,"Central, Natural Gas, Zoned",2015,"Cable Available, City Sewer, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter, Sewer Available, Sidewalk, Underground Utilities",-97.17688,32.908903,"$1,286",Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric, Zoned",Tarrant,3,0.0,05/12/2022,"$1,225,000",3,1,3/1,2,1,4,4,0.453,"$1,225,000"
6940 Gateridge  Drive ,Northwood Hills,Dallas,4,4,"3,235",1,"Central, Natural Gas",1966,"Alley, City Sewer, City Water",-96.784253,32.945467,,,None,"Central Air, Electric",Dallas,2,0.0,05/10/2022,"$1,225,000",3,1,3/1,2,2,4,4,0.388,"$1,225,000"
5801 Trail Meadow  Drive ,Park Preston 01,Dallas,4,4,"3,035",3,Central,1980,"City Sewer, City Water",-96.805986,32.891768,$300,Annually,Voluntary,"Central Air, Gas",Dallas,2,0.0,05/13/2022,"$1,225,000",3,0,3/0,1,1,4,3,0.246,"$1,225,000"
2636 Stadium  Drive ,University Place Add,Fort Worth,5,5,"2,514",1,"ENERGY STAR Qualified Equipment, Fireplace(s), Natural Gas",1939,"City Sewer, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter",-97.365843,32.712355,,,None,"Central Air, Electric",Tarrant,2,0.0,05/13/2022,"$1,225,000",2,1,2/1,1,2,3,3,0.235,"$1,225,000"
3815  W Beverly  Drive ,Beverly Terrace,Dallas,4,4,"3,788",2,"Central, Natural Gas",1951,"City Sewer, City Water",-96.8217,32.831857,,,None,"Central Air, Electric",Dallas,0,0.0,05/10/2022,"$1,230,000",4,1,4/1,2,2,4,5,0.238,"$1,230,000"
5806 Cox Farm ,Parker Village Add,Parker,7,7,"4,935",1,Natural Gas,2006,"Aerobic Septic, City Water, Concrete, Individual Gas Meter, Individual Water Meter, Septic, Underground Utilities",-96.617863,33.074019,"$1,100",Annually,Mandatory,"Ceiling Fan(s), Electric",Collin,0,0.0,05/13/2022,"$1,236,000",4,1,4/1,2,3,4,5,1.0,"$1,236,000"
7279 Ashington  Drive ,Windsor Park 04,Dallas,5,5,"3,126",1,"Natural Gas, Zoned",1968,"Alley, Asphalt, Cable Available, City Sewer, City Water, Curbs, Natural Gas Available, Sidewalk",-96.779248,32.878829,,,None,"Ceiling Fan(s), Central Air, Electric, Zoned",Dallas,2,0.0,04/29/2022,"$1,240,000",4,0,4/0,2,2,4,4,0.279,"$1,240,000"
5703 Palo Pinto  Avenue ,Belmont Sub,Dallas,1,1,"3,581",1,"Central, Zoned",2015,"City Sewer, City Water, Curbs, Sidewalk",-96.76998,32.820155,,,None,"Central Air, Zoned",Dallas,2,0.0,05/20/2022,"$1,240,000",3,1,3/1,1,2,4,4,0.201,"$1,240,000"
1006 Pampa  Drive ,Twin Creeks Ph 5b,Allen,18,18,"4,902",2,"Central, Natural Gas, Zoned",2000,"Alley, City Sewer, City Water, Concrete, Curbs, Sidewalk, Underground Utilities",-96.711243,33.112837,$312,Semi-Annual,Mandatory,"Ceiling Fan(s), Central Air, Electric, Zoned",Collin,3,0.0,05/11/2022,"$1,249,000",3,1,3/1,2,3,5,4,0.36,"$1,249,000"
6629 Fairway  Drive ,Fairways At Westworth The,Westworth Village,26,26,"3,853",1,"Central, Natural Gas",2013,"Asphalt, City Sewer, City Water, Individual Gas Meter, Individual Water Meter, Underground Utilities",-97.426443,32.754435,"$1,050",Semi-Annual,Mandatory,"Central Air, Electric",Tarrant,3,0.0,05/20/2022,"$1,249,274",3,1,3/1,2,2,4,4,0.322,"$1,249,274"
2318 Kimball Glen  Court ,Kimball Glen,Grapevine,0,0,"3,517",1,"Electric, Zoned",2022,"City Sewer, City Water",-97.110712,32.969296,"$1,000",Annually,Mandatory,"Electric, Zoned",Tarrant,2,0.0,03/30/2022,"$1,250,000",5,1,5/1,1,2,5,6,0.186,"$1,250,000"
5303 Lyoncrest  Court ,Oaktree Ph Four,Dallas,3,3,"4,364",1,"Central, Fireplace(s), Natural Gas, Zoned",1998,"Alley, Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Natural Gas Available, Sewer Available, Sidewalk, Underground Utilities",-96.817989,33.000811,$800,Semi-Annual,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air, Electric, Zoned",Collin,3,0.0,05/04/2022,"$1,250,000",3,1,3/1,2,3,4,4,0.29,"$1,250,000"
251 Alexis  Lane ,Star Trail Ph Five,Prosper,2,2,"3,838",3,"Central, Fireplace(s)",2020,"City Sewer, City Water, Underground Utilities",-96.830963,33.238097,$300,Quarterly,Mandatory,"Ceiling Fan(s), Central Air",Collin,4,0.0,04/21/2022,"$1,250,000",4,1,4/1,1,2,4,5,0.34,"$1,250,000"
2800 Riverbrook  Way ,South Vlg/Watermere,Southlake,10,10,"2,983",2,"Central, Fireplace(s), Gas Jets, Zoned",2019,"Asphalt, Cable Available, City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-97.194775,32.92917,"$2,500",Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric, ENERGY STAR Qualified Equipment, Zoned",Tarrant,3,0.0,04/28/2022,"$1,250,000",3,0,3/0,2,2,3,3,0.177,"$1,250,000"
121 Godstone  Lane ,Tanners Mill Ph 1c,Prosper,5,5,"4,749",2,"Central, ENERGY STAR Qualified Equipment, Natural Gas",2020,"City Sewer, City Water",-96.801362,33.255158,$600,Annually,Mandatory,"Ceiling Fan(s), Central Air, ENERGY STAR Qualified Equipment",Collin,3,0.0,05/06/2022,"$1,250,000",5,0,5/0,1,4,7,5,0.42,"$1,250,000"
2096 Holt  Way ,Park Hill Estates Add,Grapevine,7,7,"3,689",1,"Central, Natural Gas",2022,"City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-97.099524,32.950621,$500,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/24/2022,"$1,250,000",3,1,3/1,1,2,4,4,0.194,"$1,250,000"
4630  S Versailles  Avenue ,Highland Park,Highland Park,1,1,"2,368",1,Central,1939,"City Sewer, City Water",-96.817074,32.830697,,,None,Central Air,Dallas,2,0.0,05/12/2022,"$1,250,000",2,0,2/0,1,1,3,2,0.216,"$1,250,000"
5936 Glendower  Lane ,Willow Bend West V Ph 1a,Plano,5,5,"4,506",2,"Fireplace(s), Natural Gas, Zoned",1994,"Alley, Cable Available, City Sewer, City Water, Concrete, Curbs, Sidewalk, Underground Utilities",-96.823972,33.037658,$625,Annually,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air, Zoned",Collin,3,0.0,05/06/2022,"$1,250,000",3,1,3/1,2,4,4,4,0.22,"$1,250,000"
904 Biltmoore  Court ,Starcreek Ph One,Allen,7,7,"4,590",1,"Central, Natural Gas, Zoned",2006,"City Sewer, City Water, Curbs, Sidewalk, Underground Utilities",-96.672809,33.137143,$276,Quarterly,Mandatory,"Ceiling Fan(s), Central Air, Electric, Zoned",Collin,3,0.0,04/26/2022,"$1,255,000",4,1,4/1,2,3,5,5,0.28,"$1,255,000"
6322 Sudbury  Drive ,Caruth Terrace,Dallas,2,2,"3,289",1,Central,2017,"Alley, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter",-96.754182,32.838968,,,None,Central Air,Dallas,2,0.0,04/21/2022,"$1,260,000",3,1,3/1,2,1,4,4,0.177,"$1,260,000"
731  N Oak Cliff  Boulevard ,West Kessler Heights Rev,Dallas,5,5,"3,314",0,Natural Gas,2018,"All Weather Road, City Sewer, City Water",-96.854929,32.752108,,,None,Central Air,Dallas,2,0.0,05/24/2022,"$1,260,000",4,1,4/1,2,2,4,5,0.193,"$1,260,000"
3521 Newport  Drive ,Whitley Place Ph 9,Prosper,9,9,"4,034",2,"Central, Natural Gas",2017,"Cable Available, City Sewer, City Water, Concrete, Electricity Available, Electricity Connected, Individual Gas Meter, Individual Water Meter, Natural Gas Available, Sidewalk, Underground Utilities",-96.747938,33.241444,"$1,168",Annually,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air, Electric",Collin,3,0.0,05/18/2022,"$1,265,000",4,1,4/1,1,3,4,5,0.37,"$1,265,000"
15960 Big Horn  Trail ,Custer Creek Farms Addition Phase III,Frisco,6,6,"3,399",1,"Central, Electric, Fireplace(s), Propane",2001,"Aerobic Septic, Cable Available, Natural Gas Available, Underground Utilities",-96.734732,33.162895,$150,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Collin,0,0.0,04/29/2022,"$1,270,000",3,1,3/1,1,1,5,4,1.47,"$1,270,000"
7122 Lakehurst  Avenue ,MEADOWS 3,Dallas,13,13,"3,728",1,"Central, Natural Gas",1966,"City Sewer, City Water",-96.781466,32.884158,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,05/18/2022,"$1,270,000",4,2,4/2,2,3,5,6,0.292,"$1,270,000"
1104 Baird  Way ,Light Farms - Maydelle,Celina,1,1,"3,846",2,"Central, Natural Gas",2015,"City Sewer, City Water, Concrete, Curbs, Dirt, Individual Gas Meter, Individual Water Meter",-96.800662,33.271003,$137,Monthly,Mandatory,"Central Air, Electric",Collin,3,0.0,04/18/2022,"$1,275,000",3,2,3/2,2,2,4,5,0.329,"$1,275,000"
5422 Mercedes  Avenue ,Greenland Hills Sec,Dallas,12,12,"3,723",1,"Central, Natural Gas",1927,"City Sewer, City Water, Individual Gas Meter, Individual Water Meter",-96.776267,32.827968,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,05/04/2022,"$1,275,000",3,0,3/0,1,3,4,3,0.179,"$1,275,000"
5723 Palo Pinto  Avenue ,Belmont Sub,Dallas,4,4,"3,033",1,"Central, Natural Gas",1926,"City Sewer, City Water, Overhead Utilities",-96.769123,32.820158,,,None,"Central Air, Electric",Dallas,2,0.0,05/24/2022,"$1,276,500",2,0,2/0,1,2,3,2,0.302,"$1,276,500"
1720 Star Trace  Parkway ,Star Trail Ph One B,Prosper,26,26,"4,338",1,Central,2019,"Cable Available, City Sewer, City Water",-96.826789,33.241233,$325,Quarterly,Mandatory,Central Air,Collin,3,0.0,05/18/2022,"$1,285,000",4,2,4/2,2,3,5,6,0.305,"$1,285,000"
200 Long Canyon  Court ,Estates Of Canyon Creek,Richardson,4,4,"4,820",2,"Central, Natural Gas",1999,"City Sewer, City Water",-96.71725,32.983399,$50,Annually,Voluntary,"Ceiling Fan(s), Central Air, Electric",Dallas,3,0.0,05/12/2022,"$1,285,000",4,1,4/1,2,3,5,5,0.293,"$1,285,000"
12008 Browning  Lane ,Willow Lane Park,Dallas,5,5,"3,142",1,"Central, Natural Gas, Zoned",1978,"City Sewer, City Water",-96.79556,32.912152,,,None,"Central Air, Electric",Dallas,2,0.0,04/29/2022,"$1,288,000",3,0,3/0,1,1,4,3,0.367,"$1,288,000"
5213 Quail  Run ,Starwood Ph One Village 1,Frisco,4,4,"3,818",1,"Central, Natural Gas, Zoned",1996,"Alley, City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter",-96.828,33.123319,$749,Quarterly,Mandatory,"Central Air, Electric, Zoned",Collin,3,0.0,04/27/2022,"$1,291,000",4,1,4/1,2,3,4,5,0.23,"$1,291,000"
120 Green Oaks  Lane ,Oak Hill Estates,Southlake,9,9,"4,040",1,"Central, Fireplace(s), Natural Gas, Zoned",1992,"City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Natural Gas Available, Phone Available, Underground Utilities",-97.151789,32.946193,$250,Annually,Mandatory,"Central Air, Electric, Zoned",Tarrant,3,0.0,05/17/2022,"$1,295,888",3,1,3/1,2,3,4,4,0.475,"$1,295,888"
12119 Elysian  Court ,Parc Du Lac Estates,Dallas,4,4,"3,374",1,"Central, Natural Gas, Zoned",1983,"Cable Available, City Sewer, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter, Underground Utilities",-96.798761,32.914127,$900,Quarterly,Mandatory,"Central Air, Electric, Zoned",Dallas,2,0.0,05/12/2022,"$1,297,500",3,1,3/1,2,2,3,4,0.154,"$1,297,500"
6234 Velasco  Avenue ,Lakewood Heights,Dallas,3,3,"3,451",1,Electric,2008,"City Sewer, City Water",-96.75727,32.820774,,,None,"Ceiling Fan(s), Central Air",Dallas,2,0.0,05/03/2022,"$1,300,000",3,1,3/1,1,1,5,4,0.172,"$1,300,000"
2304 Crown Knoll  Lane ,Willow Bend Lakes Ph Four,Plano,5,5,"4,766",1,"Central, Fireplace(s), Natural Gas, Zoned",1981,"Cable Available, City Sewer, City Water",-96.805308,33.032232,"$2,300",Annually,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air, Zoned",Collin,3,0.0,05/06/2022,"$1,300,000",5,1,5/1,2,3,6,6,0.51,"$1,300,000"
7456 Malabar  Lane ,Janmar Circle 09,Dallas,4,4,"3,276",2,"Central, Zoned",1980,"City Sewer, City Water, Individual Gas Meter",-96.774869,32.907351,,,None,"Ceiling Fan(s), Central Air, Electric, Zoned",Dallas,2,0.0,05/16/2022,"$1,300,000",3,0,3/0,1,2,3,3,0.388,"$1,300,000"
7703 Tillman Hill  Road ,MONTICELLO,Colleyville,3,3,"3,737",2,"Fireplace(s), Natural Gas",1990,"Cable Available, City Sewer, City Water, Curbs, Electricity Available, Individual Gas Meter, Underground Utilities",-97.169964,32.92034,$760,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,3,0.0,04/29/2022,"$1,300,000",4,1,4/1,2,2,5,5,0.482,"$1,300,000"
5033 Silver Lake  Drive ,Lakeside On Preston Ph 3b,Plano,47,8,"3,307",2,"Central, Natural Gas",1995,Sidewalk,-96.797424,33.044088,"$1,300",Annually,Mandatory,Central Air,Collin,3,0.0,04/13/2022,"$1,300,000",4,0,4/0,2,2,4,4,0.23,"$1,300,000"
8654 San Fernando  Way ,LAKE CREST,Dallas,8,8,"2,909",2,"Central, Electric",2020,"City Sewer, City Water",-96.712741,32.823427,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,3,0.0,05/09/2022,"$1,300,000",3,1,3/1,1,1,4,4,0.093,"$1,300,000"
7720 Lawler Park  Drive ,Crossing At Lawler Park Ph 3a The,Frisco,4,4,"3,997",1,"Central, Fireplace(s)",2015,"City Sewer, City Water, Concrete, Curbs, Dirt, Electricity Available, Electricity Connected, Individual Gas Meter, Individual Water Meter, Phone Available, Sidewalk",-96.75615,33.141404,"$1,000",Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Collin,3,0.0,05/25/2022,"$1,300,000",4,1,4/1,2,4,5,5,0.217,"$1,300,000"
1914 Kings  Pass ,Buffalo Creek Country Club Estate,Heath,7,7,"5,881",2,"Central, Zoned",2007,"Cable Available, City Sewer, City Water, Curbs, Natural Gas Available, Sidewalk, Underground Utilities",-96.450883,32.86086,$163,Quarterly,Mandatory,"Ceiling Fan(s), Central Air, Zoned",Rockwall,3,0.0,05/05/2022,"$1,305,000",4,3,4/3,3,3,4,7,0.349,"$1,305,000"
2718 Timber  Trail ,Reserve At Forest Grove The,Lucas,0,0,"3,962",2,"Central, Fireplace(s)",2011,"Aerobic Septic, Cable Available, City Water, Master Gas Meter, Septic",-96.598348,33.120872,$250,Annually,Mandatory,Central Air,Collin,3,0.0,05/09/2022,"$1,307,500",3,1,3/1,2,2,4,4,1.12,"$1,307,500"
1426 Devonshire  Drive ,Light Farms The Grange Neighborhood Ph 3,Celina,6,6,"4,556",1,Central,2017,"City Sewer, City Water",-96.80433,33.277408,$137,Monthly,Mandatory,Central Air,Collin,4,0.0,05/09/2022,"$1,312,000",4,0,4/0,2,3,4,4,0.246,"$1,312,000"
4412  N Hall  Street ,Perry Heights,Dallas,4,4,"2,913",2,"Central, Natural Gas",1925,"City Sewer, City Water, Curbs",-96.814527,32.816943,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,04/28/2022,"$1,320,000",2,1,2/1,1,2,4,3,0.167,"$1,320,000"
4238 Merrell  Road ,Northcrest Rev,Dallas,8,8,"3,723",2,Central,2022,"City Sewer, City Water",-96.836731,32.887434,,,None,Central Air,Dallas,2,0.0,05/10/2022,"$1,324,250",5,0,5/0,1,2,6,5,0.157,"$1,324,250"
6335 Belmont  Avenue ,Lakewood Heights Add,Dallas,4,4,"4,329",3,"Central, Fireplace(s), Natural Gas",2006,"Alley, City Sewer, City Water, Individual Gas Meter",-96.754521,32.81745,,,None,"Attic Fan, Ceiling Fan(s), Central Air, Electric, Multi Units",Dallas,2,0.0,05/02/2022,"$1,325,000",3,1,3/1,2,4,4,4,0.172,"$1,325,000"
8935 Eustis  Avenue ,,Dallas,9,9,"3,418",1,Central,2022,"City Sewer, City Water",-96.707955,32.814122,,,None,Central Air,Dallas,2,0.0,05/12/2022,"$1,325,000",3,1,3/1,1,2,4,4,0.18,"$1,325,000"
5003 Shady Knolls  Drive ,Knolls Of Springhill,Parker,4,4,"4,425",1,Natural Gas,2001,"Aerobic Septic, Cable Available, City Water, Electricity Available, Individual Gas Meter, Natural Gas Available",-96.654021,33.070999,$700,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Collin,3,0.0,05/10/2022,"$1,325,000",4,0,4/0,2,2,4,4,2.9,"$1,325,000"
531 Classen  Drive ,Lake Highlands Estates,Dallas,5,5,"3,728",1,"Central, ENERGY STAR Qualified Equipment, Natural Gas, Zoned",2022,"Cable Available, City Sewer, City Water, Sidewalk",-96.706532,32.856389,,,None,"Ceiling Fan(s), Central Air, ENERGY STAR Qualified Equipment, Zoned",Dallas,3,0.0,05/20/2022,"$1,325,000",4,0,4/0,1,2,5,4,0.204,"$1,325,000"
